name,image,ingredients,calories,fat,carbs,protein
Hot Apple Pie,https://www.edamam.com/web-img/0e2/0e29c6c3bc052d822d960915b54a3bc1.jpg,Apple|Liqueur|Cider|Apple cider,288.8,0.4784,52.36,0.3
Baby Back Ribs,https://www.edamam.com/web-img/42f/42f91a20363a59a82f7736bcab43863b.jpg,Pork ribs|Barbecue sauce,639.028318,46.3094187631,0.9479025,54.0816055994
Baklava,https://www.edamam.com/web-img/b34/b344b9ecc1a2ce44d7c7a816bdf84fa8.jpg,Vanilla|Dough|Filo|Water|Honey|Vanilla extract|Sugar|Pecan|Walnut|Butter,497.2776875,29.166988125,58.4319,6.447419375
Beef Carpaccio,https://www.edamam.com/web-img/8bf/8bff5a383a0106eafe98e85252a679d9.jpg,Milk|Beef|Juice|Fillet (cut)|Mayonnaise|Lemon|Salt|Worcestershire sauce|Black pepper,483.890383939,42.7144872723,0.6371822917,22.6753422113
Beef Tartare,https://www.edamam.com/web-img/b6a/b6a44cb7cc3777e86d7fae0123da9814.jpg,Beef tenderloin|Beef|Black pepper|Salt|Shallot|Olive oil|Parmigiano-Reggiano|Hot sauce|Parsnip|Parsley|Olive|Mustard (condiment)|Canola oil|Celery|Chives|Oil,1694.6580179513,141.728728122,45.4558145952,62.9891211895
Beet Salad,https://www.edamam.com/web-img/37a/37a20e6fab073980ce60e43842d37618.jpg,Balsamic vinegar|Black pepper|Goat cheese|Cheese|Beta vulgaris|Walnut|Vinegar,169.4068770653,12.9893388399,9.5591422663,5.3980573488
Beignets,https://www.edamam.com/web-img/254/254a3b761d1bd1fc07bc727f23138672.jpg,Flour|Water|Powdered sugar|Baker's yeast|Oil|Vegetable oil|Vegetable|Salt|Sea salt|Butter|Sugar|Peanut|Peanut oil|Milk,290.0993447091,6.4947096413,49.5532914909,7.6598191893
Bibimbap,https://www.edamam.com/web-img/6da/6da8fdbf0747c22ad6054e2749ef4b51.jpg,Zucchini|Chili pepper|Mung bean|Sprouting|Hot sauce|Sushi|Rice|Sesame|Seed|Edamame|Potato|Scallion|Bean|Safflower|Oil|Cooking spray|Sesame oil|Carrot|Sweet potato|Ginger|Garlic|Sriracha sauce,247.7809937025,5.3911202203,40.2607417925,10.2346661168
Bread Pudding,https://www.edamam.com/web-img/2c5/2c5b9efa45e33c34d0f9d573cb74955f.jpg,Fruit|Milk|Sugar|Brown sugar|Whole wheat bread|Whole grain|Bread|Egg as food|Zest (ingredient)|Muscovado|Spice|Dried fruit|Butter|Peel (fruit)|Lemon,287.4011834637,8.1894878126,49.8267262526,6.5748623992
Breakfast Burrito,https://www.edamam.com/web-img/441/4414a00d2da9e0c6737ecf1546d5d5fe.jpg,Salt|Egg white|Egg as food|Tortilla|Cheese|Olive|Olive oil|Black pepper|Flour|Wheat tortilla|Oil,400.01,18.62395,36.118,22.4727
Bruschetta,https://www.edamam.com/web-img/3a5/3a5c44cfea95b9e3b417aafe7c21f2f1.jpg,Lemon|Juice|Black pepper|Olive oil|Oil|Butter|Parsley|Salvia officinalis|Salt|Olive|Garlic|Bruschetta|Edible mushroom|Clove,304.2539345533,31.635771654,4.8980183326,3.3219618242
Caesar Salad,https://www.edamam.com/web-img/125/12587f45996751c4d801c702cba36433.jpg,Breadstick|Parmigiano-Reggiano|Chicken as food|Lettuce|Romaine lettuce|Caesar salad,377.6393776667,19.4892737735,18.3939958333,31.8846645625
Cannoli,https://www.edamam.com/web-img/71e/71e0f9409387585737e8e08a82772b18.jpeg,Raisin|Sugar|Cream|Chocolate|Cannoli|Pistachio|Ricotta,857.9786785714,57.7542482143,76.7771185714,10.22488125
Caprese Salad,https://www.edamam.com/web-img/587/587acf25d156633d44033a403bd07ac8.jpg,Mozzarella|Tomato|Black pepper|Salt|Sea salt|Basil|Olive|Olive oil,205.4711824546,14.9068799076,4.8436396706,13.6859598338
Carrot Cake,https://www.edamam.com/web-img/ca3/ca3dca9f08a94681832735ee3199a02e.jpg,Butter|Egg as food|Cashew|Nut (fruit)|Sugar|Cinnamon|Flour|Carrot,885.0798,28.668406,145.190236,14.932586
Ceviche,https://www.edamam.com/web-img/ea8/ea8636ca18406dae2962ef3de7573dc2.jpg,Mentha|Lime (fruit)|Basil|Hot sauce|Scallion|Onion|Salt,261.1928376,4.206540145,13.397285,47.096908948
Cheesecake,https://www.edamam.com/web-img/6c5/6c58d5b05656541c6fecddd823a7c712,Cream|Cheese|Juice|Fat|Corn starch|Vanilla|Sugar|Flour|Cheesecake|Sour cream|Cream cheese|Butter|Salt|Lemon|Vanilla extract|Yolk|Graham cracker|Cracker (food),3860.108406825,274.3192151871,298.6530159857,65.405542296
Cheese Plate,https://www.edamam.com/web-img/5c6/5c6f800927a924c22ef77a5c309fa1f4.png,Hazelnut|Lemon|Juice|Cheese|Blue cheese|Butter|Common fig|Quince|Pear|Bosc pear|Kosher salt|Salt|Sugar,333.7156296697,17.9808116328,40.5505255798,6.1804673074
Chicken Curry,https://www.edamam.com/web-img/77c/77cbb3d9a16765913cd6ffe313064a7c.jpg,Stock (food)|Clove|Tomato|Curry|Chicken as food|Broth|Curry powder|Spice mix|Garam masala|Ginger|Black pepper|Onion|Salt|Olive|Oil|Olive oil|Garlic,224.3209294374,13.9610272688,8.5070149428,16.4463864633
Chicken Quesadilla,https://www.edamam.com/web-img/1f1/1f1270715e5fd732643533e0ed2d8776.jpg,Tortilla|Cumin|Cheddar cheese|Salsa (sauce)|Jalapeño,868.70875,40.1017175,85.41571,40.2251025
